id,ticket_text,category,priority
2210,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
4699,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
2005,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1540,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
10532,Externe/ interne Mails kommen nicht durch,Support general,Medium
2080,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
11480,No internet access,Support general,Medium
9263,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/CMA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1231,[TICKET ID] - New Support Ticket received  - Marker DB Citrix DotNet login,Software,Medium
495,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  J:/ÖFZFOX/MOM-OSR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1750,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
5248,FTP do marketingBom dia. não estamos conseguindo mais acessar o[LOCATION]que vocês gerenciam.   user: [USERNAME]  senha:  [PASSWORD]  erro:               [Image],Support general,Medium
1728,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
4324,File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Hallo [NAME].        I need access to the following file directories. Can you please contact IT for me?       J:/[SERVER]   J:/Stundenbuecher   J:/TOM_DOKU       Vielen Dank!   [NAME]       [NAME]   Engineer of Facility Management Construction    Group Governance & Risk Management.   Technology Real Estate – Facility Management Construction (GGR-TFC)       Phone [PHONE]   [EMAIL]           Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Bitte [NAME] die geannten Zugriffsrechte erteilen ! Danke und Gruß A. [USERNAME],Fileservice,Medium
7672,Missing connection to all securitytools on system [SERVER],Software,Medium
553,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    [SERVER]-[SERVER]           Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
9480,Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47045  Function: [COMPANY][LOCATION]consultant for MM/WM  Company: [COMPANY]  Department: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 10 2019 12:00AM     Additional information:  [COMPANY] is on-boarding the new MM consultant Mrs. [NAME].  Existing MM consultant will be rolling off from [COMPANY] project by March 2019.   Approver = [NAME],Support general,Medium
1501,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
931,[TICKET ID] - New Support Ticket received  - McAfee excepetion,Software,Medium
4530,File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access    Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])    Access Type: (RW) Read / Write    File Share:     J:/AG_MA_GE       (inklusive aller Unterordner)  J:/MGC    Requestor: [NAME] ([COMPANY]. [LOCATION])    Comment:,Fileservice,Medium
865,[PASSWORD] - New Support Ticket received  - Reset Password,Active Directory,Medium
887,[TICKET ID] - New Support Ticket received  - pagina bloqueada,Support general,Medium
4301,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/VORLAGEN     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1225,[TICKET ID] - New Support Ticket received  - configuracion nuevo equipo,Support general,Medium
9936,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47004  Function: Agentur  Company: Welocalize  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Jun 29 2019 11:00PM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME]. [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Dec 13 2018 12:00AM     Additional information:,Support general,Medium
7952,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [NAME])  Access Type: (RW) Read / Write  File Share:  J:/Topf- und Substratbestellungen     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  J:/Topf- und Substratbestellungen,Fileservice,Medium
2250,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
4247,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/SB-BD_CONVISO SMART bitte neu anlegen   Besitzer: [NAME]   Zugriff:[NAME]Lüders. [NAME]. [NAME]       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1338,[TICKET ID] - New Support Ticket received  - Acceso a carpeta compartida COMEX,Fileservice,Medium
2006,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
5869,Please correct email address for [NAME]The email address for [NAME] should be [EMAIL] mailto:[EMAIL] like EVERY OTHER [COMPANY] email addressed user requested. It is set to [EMAIL]@[COMPANY] mailto:[EMAIL][COMPANY] and that is not correct. Again.,Support general,Medium
9793,Initiated by GIT: Missing connection to all securitytools on system [SERVER],Software,Medium
1808,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
5626,Add User to AD-Group,Active Directory,Medium
1550,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2202,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2133,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
264,File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/Abt_CLC     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1755,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
392,File Share Access - [TICKET ID] - [USERNAME]. Jan ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Jan ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/IT     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1536,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1853,Create Shared Mailbox - [EMAIL] - ExHub_Training,Support general,Medium
5695,Light User for external - [TICKET ID] - [NAME]. Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [ADDRESS]  Function:[LOCATION]Berater China  Company:[LOCATION] Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 13 2018 12:00AM     Additional information:,Support general,Medium
3186,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
604,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
1500,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
5009,Instalação da Impressora SHARP - MX2640 PCL6,Computer-Services,Medium
963,[TICKET ID] - New Support Ticket received  - Configuración equipos A6 [NAME],Support general,Medium
1813,Missing connection to Directory (AD) on system [SERVER],Software,Medium
3838,Initiated by [COMPANY][LOCATION]- Vulnerable Internet Explorere on [SERVER],Software,Medium
581,File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:    J:/PFM-PU               Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
4285,File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/DCD-C/R&D Webmag     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  S. E-Mail [NAME] [EMAIL] [NAME] [EMAIL] (2.1.2019),Fileservice,Medium
1603,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
563,[TICKET ID] - A Support Ticket was forwarded to your role  - AW: Order Provisioned: #[TICKET ID] - Install request for [NAME],Support general,Medium
13724,Install printer driver,Computer-Services,Medium
909,[TICKET ID] - New Support Ticket received  - Conta Bloqueada,Active Directory,Medium
1781,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
1491,File Share Access - [TICKET ID] - [NAME] (EXTERNAL. [LOCATION]),Fileservice,Medium
616,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
2033,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
11559,setup phone for email.phone contacts.okta.,Support general,Medium
727,[TICKET ID] - A Support Ticket was forwarded to your role  -[LOCATION]Wiedereinrichtung auf neuem Handy,Software,Medium
249,PowerBI is not providing my reports,O365,Medium
5246,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: reuter)  Access Type: (RW) Read / Write  File Share:  j:/stundenbuecher     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
2283,Reset the password asap,Active Directory,High
7305,Access on LightHouse,Active Directory,Medium
627,[TICKET ID] - A Support Ticket was forwarded to your role  - Okta verify,Software,Medium
1340,[TICKET ID] - New Support Ticket received  - Dell laptop will not connect to the R drive.,Fileservice,Medium
3092,[NAME] Mails aus Salesforce an Mailverteiler,Support general,Medium
930,[TICKET ID] - New Support Ticket received  - Instalación de software,Software,Medium
1583,File Share Access - [TICKET ID] - [NAME] ([COMPANY]-[PASSWORD]. [LOCATION]),Fileservice,Medium
10535,Problemas acesso VPN,Support general,Medium
987,[TICKET ID] - New Support Ticket received  - INSTALAR ATUALIZAÇÃO SICALC,Software,Medium
6341,Creating of new Distribution Group in [LOCATION],Active Directory,Medium
5898,Initiated by GIT: Missing connection to all securitytools on system [SERVER],Software,Medium
1773,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
7695,usuario no recibe correos masivos,Support general,Medium
1060,[TICKET ID] - New Support Ticket received  - Scan is not going through,Computer-Services,Medium
6836,Impressora Borrando impressões,Computer-Services,Medium
447,Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41801  Company:  [COMPANY] SE  Department:  GGR-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:  [LOCATION]. BOB. UG / K29     Important: Please set the EA10 to the following value: 4378 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  9 2019 12:00AM     Additional information:   Mitarbeiter wechselt intern und benötigt vollständige Technikausstattung.  Vorgestztenstruktur noch nicht aktualisiert. bitte dennoch freigeben.  Bitte Notebook und Keyboard mit deutscher Tastatur.  Vielen Dank.,Support general,Medium
6786,Basis User - [USERNAME] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  22104  Company:    Department:  [COMPANY]-CS  Street:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 8708 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 16 2019 12:00AM     Additional information:   Bitte [NAME] der E-Mail Gruppe [COMPANY]-CS hinzufügen.  Telefonisch zu erreichen unter [PHONE],Support general,Medium
5702,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Guten Morgen.   würden Sie mir bitte den Zugriff auf die drei folgenden Ordnerstrukturen einrichten?    J:/HR_[SERVER]   J:/HR_[SERVER]   J:/HR_FRM-WBH   J:/PW-INSBB   Liebe Grüße. [NAME] Nollau   HR-Betreuung       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
10982,Update Power BI,O365,Medium
1475,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
2152,Initiated by GIT: Missing connection to directory (AD) on system [SERVER],Software,Medium
820,[TICKET ID] - New Support Ticket received  - email migration,O365,Medium
1623,check_mk network Hostalarm: (US[COMPANY]01) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,Support general,High
687,[TICKET ID] - New information received on closed ticket  - Light User for external - [TICKET ID] - [NAME],Support general,Medium
1194,[TICKET ID] - New Support Ticket received  - OS Update - [SERVER],Support general,Medium
843,[TICKET ID] - A Support Ticket was forwarded to you  - interrumpido acceso a J:,Fileservice,Medium
1292,[TICKET ID] - New Support Ticket received  - Windows update to 1803,Support general,Medium
3692,Installation of Power BI desktop for user  [EMAIL] ,O365,Medium
10454,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  Voss. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/Wertprüfungen       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
7943,Light User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])Service Request: Light User  Create Light user for [NAME] ([COMPANY]. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone:   Cost Center: 150220  Company: [COMPANY] Services [ADDRESS] GmbH  Department: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:      Important: Please set the EA10 to the following value: 13735 (leave blank. when empty)     Desired date: Feb 11 2019 12:00AM     Requestor: [NAME] ([COMPANY]. [LOCATION])     Additional information:,Support general,Medium
3638,Delegation of Group - [SERVER]-LIMS,Fileservice,Medium
1604,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1574,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
660,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] -,Support general,Medium
2319,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
959,[TICKET ID] - New Support Ticket received  - Phone does not load email,O365,Medium
4625,File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  J:/ZR_MAS     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1330,[TICKET ID] - New Support Ticket received  - cant sign into Skype,O365,Medium
2141,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1422,SR263409 - Leaving employee: The user Books; [NAME] ([COMPANY]; [LOCATION]) is going to leave [COMPANY] on 10;10;2017,Active Directory,Medium
972,[TICKET ID] - New Support Ticket received  - configuacion nuevo telefono,Support general,Medium
5604,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]. Igor     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47046  Function: [COMPANY][LOCATION]consultant for BI  Company: [COMPANY] do Brasil Ltda.  Department: GIT-EST  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 20 2018 12:00AM     Additional information:  New [COMPANY][LOCATION]consultant for BI. [NAME],Support general,Medium
3909,Initiated by [COMPANY][LOCATION]- Vulnerable Office on [SERVER],O365,Medium
7052,instalar os [COMPANY]ulos de segurança dos bancos Caixa e BB,Software,Medium
1789,Create Shared Mailbox - [TICKET ID] - [COMPANY] rental car management,Support general,Medium
789,[TICKET ID] - A Support Ticket was forwarded to you  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1392,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([SERVER]) [SERVER] - UP -> DOWN,Support general,High
1034,[TICKET ID] - New Support Ticket received  - Installation of Microsoft Visio,O365,Medium
5176,problemas para acessar email no pcEmail outlook não conectado,O365,Medium
684,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] -,Support general,Medium
11455,T20200124.0018 - Update outlook mailgroup [NAME],Support general,Medium
9695,new[LOCATION]isnt found,Support general,Medium
841,[TICKET ID] - Reminder of paused Support Ticket  - Security Alert [URL],O365,Medium
1004,[TICKET ID] - New Support Ticket received  - Install new printer,Computer-Services,Medium
4614,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. ESBA)Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. ESBA) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  [SERVER]-FINANCE-RW     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1093,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Servicealarm: ([SERVER]) [COMPANY] LS Systemmanagement - [SOFTWARE] Depot Server: Service MATRIXPXE - OK -> CRIT,Support general,Medium
1506,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
10791,Golive Crop Manager - intern kein Zugriff,Fileservice,Medium
1907,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1720,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1570,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
8674,Release E-Mail from quarantine,Support general,Medium
1520,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1345,[TICKET ID] - New Support Ticket received  - Acesso Skype,O365,Medium
659,LIberacao do PowerBI no O365 para [NAME] e [NAME]Por favor poderiam faze-lo? Grato    [NAME]BA. PMP. CISSP.  [COMPANY] Services North America  Phone [PHONE]         Mobile [PHONE]  [EMAIL]<mailto:[EMAIL]>            [URL]>    ,O365,Medium
2108,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
8023,Ajuste FoneBoa tarde      Serviço ja ajustado do Fone.      Obrigado,Support general,Medium
226,[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
2220,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
2375,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Remove File Share Access     Remove file share access for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  File Share:  J:/[SERVER]  Verzeichnis kann gelöscht werden.     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Verzeichnis wurde aufgelöst und kann daher gelöscht werden.,Fileservice,Medium
8740,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
1248,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Servicealarm: ([SERVER]) [COMPANY] LS Systemmanagement - [SOFTWARE] Depot Server: Service MATRIXRSYNC - OK -> CRIT,Support general,Medium
955,[TICKET ID] - A Support Ticket was forwarded to you  - Desbloqueio site PM de Cambé,Support general,Medium
1925,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1091,[TICKET ID] - A Support Ticket was forwarded to your role  - Unable to[LOCATION]from [NAME],Support general,Medium
1757,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1136,[TICKET ID] - New Support Ticket received  -[LOCATION]issue,Support general,Medium
2196,Request to install a VM for testing purposes - Windows Defender ATP,Software,Medium
902,[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable Windows Defender on [SERVER],Support general,Medium
4393,Problemas impresora de sobres,Computer-Services,Medium
1924,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
5866,Cannot print labels from label printer,Computer-Services,Medium
1498,Data Factory - Azure Logic Apps (Please contact [NAME]),Software,Medium
1497,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2222,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1601,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
1705,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
2155,Initiated by GIT: Missing connection to Directory (AD) on system [SERVER],Software,Medium
1792,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1903,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
691,[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
433,Email Excelância Comercial,Support general,Medium
1627,Create Shared Mailbox - [TICKET ID] - my[COMPANY] RO,Support general,Medium
1289,[TICKET ID] - New Support Ticket received  - Missing Analysis Tool for Excel,O365,Medium
1734,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
827,[TICKET ID] - New Support Ticket received  - New cell phone,Support general,Medium
13754,initiated by[LOCATION]: Question of the status of inactive systems,Software,Low
1488,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1472,Create Shared Mailbox - [EMAIL] - [EMAIL],Support general,Medium
9426,Missing connection to all securitytools on system [SERVER],Software,Medium
1556,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
4813,Acesso a pasta a usuario,Fileservice,Medium
4249,Ajuste no e-mail do depto de Crédito,Support general,Medium
1600,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
878,[TICKET ID] - New Support Ticket received  - bloqueo notbook,Support general,Medium
1581,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
646,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [USERNAME] ([COMPANY]. [LOCATION]),Support general,Medium
5315,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
586,[TICKET ID] - A Support Ticket was forwarded to your role  - Access to the shared mailbox,O365,Medium
4906,Ativação VPNBoa Tarde!  Favor ativar o[LOCATION]para acesso as pastas em rede.  Motivo: Trabalho Home Office,Support general,Medium
8339,bad address in the email,Support general,Medium
1414,GPO bitlocker,Active Directory,Medium
1598,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
702,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] -,Support general,Medium
1831,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1424,SR284515 Access to file share or specific folder: the user [NAME] ([COMPANY]; [LOCATION]) needs access to a fileshare,Fileservice,Medium
1592,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
2076,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1352,[TICKET ID] - New Support Ticket received  - Lost Onedrive files,O365,Medium
1205,[TICKET ID] - New Support Ticket received  - [SOFTWARE] updates,Support general,Medium
2132,Delete Shared Mailbox - [EMAIL] - [EMAIL]AMA. [LOCATION]),Support general,Medium
9789,Restrição de acessoBom dia!              Por gentileza. no grupo J a pasta Relatório - estoque fazer uma restrição de acesso. sendo disponivel apenas para:      - [NAME];    - [NAME];    - [NAME];    - [NAME].        [Image],Active Directory,Medium
3043,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
10177,Zugriffsrechte auf Shared Mailbox entziehen,Support general,Medium
