ticket_text,category,priority
[TICKET ID] - A Support Ticket was forwarded to your role  - Skype uninstall and reinstall,O365,Medium
[TICKET ID] - [SERVER][LOCATION]- Planned Maintenance - 2018-10-10. 02:00[LOCATION]| [NAME] ([SERVER]) | [NAME] ([SERVER]) [COMPANY] SE. ,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/ZRPMEXIM           Requestor: [NAME] [NAME] ([COMPANY]. [LOCATION])  Comment:  Hallo!  Ich benötige Zugriff auf folgendes Verzeichnis:   J:/ZRPMEXIM  Vielen Dank und Weihnachtsgrüße sendet [NAME],Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Skype Malfunction,O365,Medium
Printer OFFLinePerdi conexão com a  impressora. Já reiniciei o computador e a impressora várias vezes e não  adianta. Sempre PRINTER OFFLINE. Por favor. pode me ajudar?,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - BarTender app (print app) ,Software,Medium
(2019111410287) Verizon Initial Notification,Support general,Medium
User [USERNAME] cannot receive emails from service catalog or SafeNet,Support general,Medium
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  22502  Company:    Department:  [LOCATION]  Street:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13706 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 21 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [LOCATION]-[ADDRESS],Support general,Medium
Closure of an e-mail account,O365,Medium
[TICKET ID] - New Support Ticket received  - Telefonia - número 101,Support general,Medium
[PASSWORD] - New Support Ticket received  - Problema con contraseña,Active Directory,Medium
Acesso pasta J: LaboratórioBoa tarde.      Por favor liberar meu acesso a pasta J: Laboratório.    Atenciosamente.,Fileservice,Medium
Light User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Light User  Create Light user for [NAME] ([COMPANY]. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47037  Company: [COMPANY] SE  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office: [LOCATION]. [NAME]     Important: Please set the EA10 to the following value: 4458 (leave blank. when empty)     Desired date: Dec 10 2018 12:00AM     Requestor: [NAME] ([COMPANY]. [LOCATION])     Additional information:  Der User ist nicht für mich sondern für folgende Person:   [NAME]   [COMPANY] Multimedia Solutions GmbH  Learning und Change Consulting [NAME] Hausanschrift: [ADDRESS]  Postanschrift: [ADDRESS] [PHONE] (Tel)  [PHONE] (Mobil)  E-Mail: [EMAIL] Internet: [URL],Support general,Medium
[TICKET ID] - New information received on closed ticket  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])  ,Support general,Medium
[SOFTWARE] issues,Software,Medium
[TICKET ID] - New Support Ticket received  - Configuração de Impressora,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Configuración mobilepass | [NAME],Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  75090  Company:  [COMPANY] SE  Department:  [SERVER]-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 12715 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Oct 17 2018 12:00AM     Additional information:,Active Directory,Medium
Solicito backup do da 21/11/2019. da planilha. constante do endereço J:/PRODUÇÃO/SUPERVISOR CAMPOS DE PRODUÇÃO/Mônica PROTOCOLO DE NF.xlsx,Fileservice,Medium
Quarantine email,Support general,Medium
Check if user email exists. and remove user from email,Support general,Medium
[TICKET ID] - New Support Ticket received  - Skype not signing in ,O365,Medium
Light User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])Service Request: Light User  Create Light user for [NAME] ([COMPANY]. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47037  Company: [COMPANY] SE  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office: [LOCATION]. [NAME]     Important: Please set the EA10 to the following value: 4458 (leave blank. when empty)     Desired date: Dec 21 2018 12:00AM     Requestor: [NAME] ([COMPANY]. [LOCATION])     Additional information:  Hallo.  für den folgenden Mitarbeiter bitte den entsprechenden AD Account anlegen:  [NAME] [COMPANY] INTERNATIONAL[LOCATION]GDU[LOCATION]Solutions [NAME][LOCATION]FM/HCM [ADDRESS] [PHONE] (Mobil) Mail: [EMAIL],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - The Skype of user [USERNAME] can’t work normally,O365,Medium
Microsoft apps are not working on the phone,O365,Medium
[TICKET ID] - New Support Ticket received  - Pagina web del[LOCATION]( IDASE),Support general,Medium
Setup McAfee Web Gateway [LOCATION],Software,Medium
Kalenderzugriff nicht mehr gegeben,Support general,Medium
File Share Access - [TICKET ID] - [NAME]lena ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME]lena ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      give [NAME] access to           Groups ( J:)[LOCATION]        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  please give her as soon as possible access,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. ESBA)Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. ESBA) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      Hello.        I need [NAME] to have access to the rh (//[SERVER]) (L:).    Please contact [NAME] or [NAME] for further information.    Thank you.    [NAME]         Requestor: [NAME] ([COMPANY]. ESBA)  Comment:,Fileservice,Medium
Acesso a novo diretório,Fileservice,Medium
No access to sharepoint team website,Software,Medium
Criação de uma lista de distribuição,Active Directory,Medium
Nexthink alerts message inbox change,Active Directory,Medium
Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [SERVER] customer.  [COMPANY][LOCATION]tasked [COMPANY] IT to track [COMPANY] systems with identified vulnerabilities and furthermore to initiate mandatory procedures.     This message is just for you information. You will receive further details within a short time.        Kind regards.  [COMPANY] IT Services,Support general,Medium
Users cant connect online,Support general,Medium
Email folders are differentUser has noticed her email folders are now different.  Was there any updates over the weekend that would have caused this?  User has to monitor two mailboxes. and the recent changes make it difficult to see both in the same view.  Can this be changed?  Prior to today it looked like this.  [Image]  Today it looks like this.  [Image],O365,Medium
Acesso a VPN,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - okta mobile,Software,Medium
[TICKET ID] - New Support Ticket received  - renovacion [NAME],Active Directory,Medium
[TICKET ID] - New information received on closed ticket  - [NAME] Impressora,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Light User for external - [USERNAME] - [NAME],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Kalenderproblem: free/busy für Kollegen nicht sichtbar,O365,Medium
Create Shared Mailbox - [TICKET ID] - my[COMPANY] HU,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Hello.   please grant me the same access to the same folders as Mr.Diedrich has.       Regards.   irina Karpacheva       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Instalação de impressora  sharp 2640,Computer-Services,Medium
File Share Access - [TICKET ID] - Lueders.[NAME]([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  Lueders.[NAME]([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/SB-BD_CAA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: Bemm)  Access Type: (RO) Read only  File Share:  J:/MBDATA/Lab     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New information received on closed ticket  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
[TICKET ID] - New Support Ticket received  - Email y alias,O365,Medium
[TICKET ID] - New Support Ticket received  - iPhone reset,Support general,Medium
(2019100506508) Verizon Initial Notification - Sitecode: [LOCATION],Support general,Medium
[TICKET ID] - New Support Ticket received  - Scanner Config.,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - Create[LOCATION]entry [COMPANY]up.ads.dir,Support general,Medium
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:    J:/[LOCATION]  J:/Projekte  [LOCATION]Projekt Management Portal TP   Benutzergruppe Project_Manager_TP       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
duplicate emails sentWe have two separate reports of duplicate messages being received by users.  Both [NAME] and [NAME] appear to have sent duplicate messages when they did not (send items only shows one copy).  Please investigate the issue and determine the cause of this problem.  See below snips for examples as well as the attached emails.  [Image]  [Image],O365,Medium
E-Mailadresse falsch,Support general,Medium
Initiated by [COMPANY][LOCATION]- Vulnerable Internet Explorer on [SERVER],Software,Medium
Missing connection to all securitytools on system [SERVER],Software,Medium
[TICKET ID] - New Support Ticket received  - quitar accesos de carpeta RRHH,Fileservice,Medium
ImpresoraBuenas tardes Estimado. no tengo problemas para imprimir. este es el aviso que me aparece     [Image],Computer-Services,Medium
Delegate access for [SERVER],Active Directory,Medium
Planilha não esta na rede.,O365,Medium
[TICKET ID] - New Support Ticket received  - Telephone email not working,Support general,Medium
[TICKET ID] - New Support Ticket received  - No me anda internet ni el correo electronico,O365,Medium
[TICKET ID] - New Support Ticket received  - conexion[LOCATION]en el escritorio,Support general,Medium
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [USERNAME]  Cost Center:  44288  Company:    Department:  [LOCATION]  Street:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13708 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 15 2019  3:00AM     Additional information:,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - create[LOCATION]recors for new production ESXi hosts,Support general,High
[TICKET ID] - A Support Ticket was forwarded to you  - Initiated by [COMPANY][LOCATION]- Vulnerable Office on [ADDRESS],Support general,Medium
[TICKET ID] - New Support Ticket received  - Habiliar a ferramenta EXCEL-DAPI,O365,Medium
[TICKET ID] - New Support Ticket received  - Cant login to Skype,O365,Medium
Light User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])Service Request: Light User  Create Light user for [NAME] ([COMPANY]. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone:   Cost Center: [PHONE]  Company: [COMPANY] S.A.  Department: KW-[ADDRESS] [ADDRESS] – Zona Rural.  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:      Important: Please set the EA10 to the following value: 10166 (leave blank. when empty)     Desired date: Jan 24 2019  3:00AM     Requestor: [NAME] ([COMPANY]. [LOCATION])     Additional information:,Support general,Medium
Printer at my desk is hesitating again & I have lost Google,Computer-Services,Medium
New Phone Need Okta resetNew Phone Need Okta reset,Software,Medium
[TICKET ID] - New Support Ticket received  - no puede entrar al correo,O365,Medium
Basis User - [TICKET ID] - Eisinger. [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  Eisinger. [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174406  Company:  [COMPANY] [ADDRESS] GmbH  Department:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13630 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 10 2019 12:00AM     Additional information:   [ADDRESS].  Bitte asap - Head of [LOCATION] HR,Support general,High
Problemas no Skype quando ao receber ligações Quando recebo uma chamada de voz  via Skype. não consigo atender. diz que que o áudio não está configurado,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - AD Account gelöscht,Active Directory,Medium
Power BI Fails to Publish,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Problemas com e-mail Contas a Pagar,O365,Medium
[TICKET ID] - New Support Ticket received  - Connection error to J drive via Citrix,Fileservice,Medium
actual[LOCATION]user list,Support general,Medium
Acesso as pastas - Mesmos acessos da [NAME],Fileservice,Medium
Basis User - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174454  Company:  [COMPANY] Berlin GmbH  Department:  GTC-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13601 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  1 2019 12:00AM     Additional information:   Liebes [COMPANY]-Team.   Laptop. Bildschirm. Tastatur. Telefon. Headset bitte aus Gerätepool Berlin. falls vorhanden  Tastatur und Laptop bitte deutsche Tastatur   Vielen Dank,Support general,Medium
Create Shared Mailbox - [EMAIL] - [COMPANY] Credit card management,Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44257  Company:  [COMPANY] France  Department:  [COMPANY]  Street:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:    Office:       Important: Please set the EA10 to the following value: 13744 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Feb  1 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  -[LOCATION]Training ,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - No me aparecen las carpetas compartidas,Fileservice,Medium
cant connect to Folder GROUPS,Fileservice,Medium
Create Shared Mailbox - [EMAIL] - PI / PO Support,Support general,Medium
[TICKET ID] - New Support Ticket received  - Instalar app office,Software,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Verificar Conta E-mail,O365,Medium
Instalar impressora -[LOCATION]I,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - SafeNet SoftToken Activation,Support general,Medium
Initiated by GIT: Missing connection to updates ([SOFTWARE]) on system [SERVER],Software,Medium
[TICKET ID] - New Support Ticket received  -[LOCATION]and Printer Driver on New Machine,Computer-Services,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Eva ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      n:/_Share/    n:/[SERVER]/STA-ALZ/    n:/[SERVER]/STA-EIN/    n:/[SERVER]/STA-KOZ/    n:/[SERVER]/STA-MCE/    n:/[SERVER]/STA-PIU/    n:/[SERVER]/STA-POR/         Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Ajuste de Acesso ao Calendário das Salas,O365,Medium
ACCESS DB in inkonsistentem Zustand,O365,Medium
[TICKET ID] - New Support Ticket received  - Acceso a IN[LOCATION]ET,Active Directory,Medium
Erro ao enviar arquivo pelo E-CAC,Software,Medium
McAfee issue,Software,Medium
Basis User for external - [TICKET ID] - [NAME]Service Request: Basis User for external     Create Windows account for external user  [USERNAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]-  Cost Center: 41605  Function: Konstrukteur  Company: [COMPANY]  Department: GGR-TTP  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 14 2019 12:00AM     Additional information:,Support general,Medium
Impressora com defeito,Computer-Services,Medium
Outlook-Verteiler ergänzen,Support general,Medium
Entfernen von F1-Duplikaten im Active Directory,Active Directory,Medium
Email Fornecedor - Caixa de SpamOlá. boa tarde!        Temos um fornecedor que o email dele está indo diretamente para nossa caixa de Spam. Poderiam verificar se há como ajustar?        [NAME] - Relacionamento - [COMPANY]-[NAME] <[EMAIL]>               Obrigada.,Software,Medium
[TICKET ID] - New Support Ticket received  - Give access to restricted folder,Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  -  Instalação de Impressora [NAME],Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - Missing Updates - [SERVER],Support general,Medium
[TICKET ID] - New Support Ticket received  - Acesso [NAME],Software,Medium
Basis User - [TICKET ID] - [USERNAME]. Ole ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. Ole ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  47069  Company:  [COMPANY] SE  Department:  [ADDRESS]:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13592 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Dec 21 2018 12:00AM     Additional information:   Das Büro von Herrn Hoffmann wird sich imBürogebäude in der [ADDRESS] befinden (Büro: 1.04). Bitte liefern Sie die Hardware so schnell wie möglich aus.  Vielen Dank!  Für Rückfragen stehe ich gern zur Verfügung.  Beste Grüße [NAME] Tel.: [PHONE],Support general,Medium
change skype meeting mobile phone line,O365,Medium
[TICKET ID] - New Support Ticket received  - Activation code for Blackberry,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  -  Access to [EMAIL],O365,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      J:/[SERVER]       Normal   0         21         false   false   false      DE   X-NONE   X-NONE                                             MicrosoftInternetExplorer4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
RE: User credentials for Order [TICKET ID]Thanks –    [NAME]    From: [EMAIL] <[EMAIL]>  Sent: Thursday. October 24. 2019 11:14 AM  To: [NAME] ([COMPANY] [LOCATION]) <[EMAIL]>; [NAME] ([COMPANY]. [LOCATION]) <[EMAIL]>  Subject: User credentials for Order [TICKET ID]      Hello.    with this Email you receive the user credentials for the person  [NAME] which you ordered in the IT-Service catalog.        Accountname: [USERNAME]    [NAME]:[EMAIL]    Password: [PASSWORD]    Please note: The mailbox provisioning is not done yet. this will take several hours.    By the first log in the password must be changed. this could be done in Okta or by the first log in on Windows.    If you need help by the first log in. please contact the [COMPANY] ServiceDesk.      ,Active Directory,Medium
Access to [ADDRESS] [NAME],Fileservice,Medium
Scannen mit [SERVER] nicht möglich für meinen Account,Computer-Services,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    [NAME] benötigt den Zugriff auf folgenden Ordner auf Laufwerk J   INS-ES       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Will Hope passworrd reset,Active Directory,Medium
Create Shared Mailbox - [EMAIL] - my[COMPANY] Mailbox CH,Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. Michele ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174440  Company:  [COMPANY] Berlin GmbH  Department:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13651 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  1 2019 12:00AM     Additional information:   Liebes [COMPANY]-Team.   Laptop. Bildschirm. Tastatur. Telefon. Headset bitte aus Gerätepool Berlin. falls vorhanden  Tastatur und Laptop bitte englische Tastatur,Support general,Medium
Missing connection to all securitytools on system [LOCATION]-TMP01,Software,Medium
Microsoft office error,O365,Medium
[TICKET ID] - New Support Ticket received  - Configuración mobilepass | [NAME],Support general,Medium
email group membership,O365,Medium
Create Shared Mailbox - [TICKET ID] - [EMAIL]),Support general,Medium
Delete Shared Mailbox - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
[TICKET ID] - New Support Ticket received  - Access request to File Share,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - OS Updates - [SERVER],Support general,Medium
[TICKET ID] - New Support Ticket received  - Manutenção de Impressora. [COMPANY]elo: LEXMARK X656de. Setor: Controle de Qualidade.,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to you  -[LOCATION]Zugang für [NAME],Support general,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME]nza ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174454  Company:  [COMPANY] [ADDRESS] GmbH  Department:  GTC-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13588 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Dec 31 2018 12:00AM     Additional information:,Support general,Medium
Basis User - [USERNAME] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41606  Company:    Department:  [ADDRESS]:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13722 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 21 2019 12:00AM     Additional information:,Support general,Medium
[NAME] is locked out of her account.,Active Directory,Medium
[COMPANY]/Holert -[LOCATION]Eintrag für Wallplanner Web ApplicationSehr geehrte [NAME] und [NAME].          können Sie für die Web Applikation Wallplanner einen[LOCATION]Eintrag für [SERVER] anlegen?     [COMPANY]up.ads.dir                  Zudem brauchen wir dann noch ein[LOCATION]Zertifikat. Können Sie auch hier die Installation auf dem [SERVER] veranlassen?         Danke und viele Grüße    [NAME]              ---------------------------------------------------------------------------------------------------------------------------------------------  Holert - Project- and Portfoliomanagement with Microsoft Project - Consulting. Training and Development     [NAME]  Consultant      [NAME]-Str. 20 | [ADDRESS] | Germany  [ADDRESS] | [ADDRESS] | Germany       <[URL]> [URL] |  <mailto:[EMAIL]> [EMAIL] | [PHONE]    Tel. [PHONE]*  Fax [PHONE]     [NAME] GmbH. Geschäftsführer: [NAME]. Sitz: [ADDRESS]: [ADDRESS]    *12.4 Cent/Minute für Gespräche tagsüber aus dem Festnetz der Deutschen Telekom         ,Support general,Medium
Virus on email,Software,Medium
Externe/ interne Mails kommen nicht durch,Support general,Medium
No internet access,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/CMA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Marker DB Citrix DotNet login,Software,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  J:/ÖFZFOX/MOM-OSR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
FTP do marketingBom dia. não estamos conseguindo mais acessar o[LOCATION]que vocês gerenciam.   user: [USERNAME]  senha:  [PASSWORD]  erro:               [Image],Support general,Medium
