ticket_text,category,priority,cleaned_text
Will Hope passworrd reset,Account,Medium,hope passworrd reset
Create Shared Mailbox - [EMAIL] - my[COMPANY] Mailbox CH,General Query,Medium,create shared mailbox email company mailbox
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME]. Michele ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174440  Company:  [COMPANY] Berlin GmbH  Department:  [ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13651 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  1 2019 12:00AM     Additional information:   Liebes [COMPANY]-Team.   Laptop. Bildschirm. Tastatur. Telefon. Headset bitte aus Gerätepool Berlin. falls vorhanden  Tastatur und Laptop bitte englische Tastatur,General Query,Medium,basis user ticket company location service request basis user create windows account internal user username michele company location firstname lastname cost center company company berlin gmbh department address zip address city address country germany office important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date jan additional information liebes company team laptop bildschirm tastatur telefon headset bitte aus ger tepool berlin falls vorhanden tastatur und laptop bitte englische tastatur
Missing connection to all securitytools on system [LOCATION]-TMP01,Technical Issue,Medium,missing connection securitytools location tmp
Microsoft office error,Technical Issue,Medium,microsoft office error
[TICKET ID] - New Support Ticket received  - Configuración mobilepass | [NAME],General Query,Medium,ticket new support ticket received configuraci mobilepass
email group membership,Technical Issue,Medium,email group membership
Create Shared Mailbox - [TICKET ID] - [EMAIL]),General Query,Medium,create shared mailbox ticket email
Delete Shared Mailbox - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),General Query,Medium,delete shared mailbox ticket company location
[TICKET ID] - New Support Ticket received  - Access request to File Share,Technical Issue,Medium,ticket new support ticket received access request file share
[TICKET ID] - New Support Ticket received  - OS Updates - [SERVER],General Query,Medium,ticket new support ticket received updates server
[TICKET ID] - New Support Ticket received  - Manutenção de Impressora. [COMPANY]elo: LEXMARK X656de. Setor: Controle de Qualidade.,Technical Issue,Medium,ticket new support ticket received manuten impressora company elo lexmark setor controle qualidade
[TICKET ID] - A Support Ticket was forwarded to you  -[LOCATION]Zugang für [NAME],General Query,Medium,ticket support ticket forwarded location zugang
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME]nza ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  174454  Company:  [COMPANY] [ADDRESS] GmbH  Department:  GTC-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 13588 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Dec 31 2018 12:00AM     Additional information:,General Query,Medium,basis user ticket company location service request basis user create windows account internal user nza company location firstname lastname cost center company company address gmbh department gtc address zip address city address country germany office important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date dec additional information
Basis User - [USERNAME] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41606  Company:    Department:  [ADDRESS]:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13722 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 21 2019 12:00AM     Additional information:,General Query,Medium,basis user username service request basis user create windows account internal user firstname lastname cost center company department address zip city country address office important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date jan additional information
[NAME] is locked out of her account.,Account,Medium,locked account
[COMPANY]/Holert -[LOCATION]Eintrag für Wallplanner Web ApplicationSehr geehrte [NAME] und [NAME].          können Sie für die Web Applikation Wallplanner einen[LOCATION]Eintrag für [SERVER] anlegen?     [COMPANY]up.ads.dir                  Zudem brauchen wir dann noch ein[LOCATION]Zertifikat. Können Sie auch hier die Installation auf dem [SERVER] veranlassen?         Danke und viele Grüße    [NAME]              ---------------------------------------------------------------------------------------------------------------------------------------------  Holert - Project- and Portfoliomanagement with Microsoft Project - Consulting. Training and Development     [NAME]  Consultant      [NAME]-Str. 20 | [ADDRESS] | Germany  [ADDRESS] | [ADDRESS] | Germany       <[URL]> [URL] |  <mailto:[EMAIL]> [EMAIL] | [PHONE]    Tel. [PHONE]*  Fax [PHONE]     [NAME] GmbH. Geschäftsführer: [NAME]. Sitz: [ADDRESS]: [ADDRESS]    *12.4 Cent/Minute für Gespräche tagsüber aus dem Festnetz der Deutschen Telekom         ,General Query,Medium,company holert location eintrag wallplanner web applicationsehr geehrte und nnen sie die web applikation wallplanner einen location eintrag server anlegen company ads dir zudem brauchen wir dann noch ein location zertifikat nnen sie auch hier die installation auf dem server veranlassen danke und viele holert project portfoliomanagement microsoft project consulting training development consultant str address germany address address germany url url mailto email email phone tel phone fax phone gmbh gesch ftsf hrer sitz address address cent minute gespr che tags ber aus dem festnetz der deutschen telekom
Virus on email,Technical Issue,Medium,virus email
Externe/ interne Mails kommen nicht durch,General Query,Medium,externe interne mails kommen nicht durch
No internet access,General Query,Medium,internet access
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/CMA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share cma requestor company location comment
[TICKET ID] - New Support Ticket received  - Marker DB Citrix DotNet login,Technical Issue,Medium,ticket new support ticket received marker citrix dotnet login
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  J:/ÖFZFOX/MOM-OSR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username access type read write file share fzfox mom osr requestor company location comment
FTP do marketingBom dia. não estamos conseguindo mais acessar o[LOCATION]que vocês gerenciam.   user: [USERNAME]  senha:  [PASSWORD]  erro:               [Image],General Query,Medium,ftp marketingbom dia estamos conseguindo mais acessar location que voc gerenciam user username senha password erro image
File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Hallo [NAME].        I need access to the following file directories. Can you please contact IT for me?       J:/[SERVER]   J:/Stundenbuecher   J:/TOM_DOKU       Vielen Dank!   [NAME]       [NAME]   Engineer of Facility Management Construction    Group Governance & Risk Management.   Technology Real Estate – Facility Management Construction (GGR-TFC)       Phone [PHONE]   [EMAIL]           Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Bitte [NAME] die geannten Zugriffsrechte erteilen ! Danke und Gruß A. [USERNAME],Technical Issue,Medium,file share access ticket username company location service request file share access grant access file share following user username company location username username access type read write file share hallo need access following file directories contact server stundenbuecher tom doku vielen dank engineer facility management construction group governance risk management technology real estate facility management construction ggr tfc phone phone email requestor company location comment bitte die geannten zugriffsrechte erteilen danke und gru username
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    [SERVER]-[SERVER]           Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share server server requestor company location comment
Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47045  Function: [COMPANY][LOCATION]consultant for MM/WM  Company: [COMPANY]  Department: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan 10 2019 12:00AM     Additional information:  [COMPANY] is on-boarding the new MM consultant Mrs. [NAME].  Existing MM consultant will be rolling off from [COMPANY] project by March 2019.   Approver = [NAME],General Query,Medium,light user external ticket username service request light user external create light user username firstname lastname ailaddress email phone phone cost center function company location consultant company company department address zip address city address country address location location office expiration date defined important indicate external user requestor company location desired date jan additional information company boarding new consultant mrs existing consultant rolling company project march approver
[TICKET ID] - New Support Ticket received  - McAfee excepetion,Technical Issue,Medium,ticket new support ticket received mcafee excepetion
File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access    Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])    Access Type: (RW) Read / Write    File Share:     J:/AG_MA_GE       (inklusive aller Unterordner)  J:/MGC    Requestor: [NAME] ([COMPANY]. [LOCATION])    Comment:,Technical Issue,Medium,file share access ticket username company location service request file share access grant access file share following user username company location username username access type read write file share inklusive aller unterordner mgc requestor company location comment
[PASSWORD] - New Support Ticket received  - Reset Password,Account,Medium,password new support ticket received reset password
[TICKET ID] - New Support Ticket received  - pagina bloqueada,General Query,Medium,ticket new support ticket received pagina bloqueada
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/VORLAGEN     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share vorlagen requestor company location comment
[TICKET ID] - New Support Ticket received  - configuracion nuevo equipo,General Query,Medium,ticket new support ticket received configuracion nuevo equipo
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47004  Function: Agentur  Company: Welocalize  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Jun 29 2019 11:00PM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME]. [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Dec 13 2018 12:00AM     Additional information:,General Query,Medium,light user external ticket service request light user external create light user username firstname lastname ailaddress email phone phone cost center function agentur company welocalize department gmc address zip address city address country address location location office expiration date jun important indicate external user requestor username company location desired date dec additional information
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [NAME])  Access Type: (RW) Read / Write  File Share:  J:/Topf- und Substratbestellungen     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  J:/Topf- und Substratbestellungen,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username access type read write file share topf und substratbestellungen requestor company location comment topf und substratbestellungen
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/SB-BD_CONVISO SMART bitte neu anlegen   Besitzer: [NAME]   Zugriff:[NAME]Lüders. [NAME]. [NAME]       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share conviso smart bitte neu anlegen besitzer zugriff ders requestor company location comment
[TICKET ID] - New Support Ticket received  - Acceso a carpeta compartida COMEX,Technical Issue,Medium,ticket new support ticket received acceso carpeta compartida comex
Please correct email address for [NAME]The email address for [NAME] should be [EMAIL] mailto:[EMAIL] like EVERY OTHER [COMPANY] email addressed user requested. It is set to [EMAIL]@[COMPANY] mailto:[EMAIL][COMPANY] and that is not correct. Again.,General Query,Medium,correct email address email address email mailto email like company email addressed user requested set email company mailto email company correct
Add User to AD-Group,Account,Medium,add user group
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/Abt_CLC     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket service request file share access grant access file share following user username access type read write file share abt clc requestor company location comment
File Share Access - [TICKET ID] - [USERNAME]. Jan ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. Jan ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/IT     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket username jan company location service request file share access grant access file share following user username jan company location username username access type read write file share company requestor company location comment
Create Shared Mailbox - [EMAIL] - ExHub_Training,General Query,Medium,create shared mailbox email exhub training
Light User for external - [TICKET ID] - [NAME]. Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [ADDRESS]  Function:[LOCATION]Berater China  Company:[LOCATION] Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 13 2018 12:00AM     Additional information:,General Query,Medium,light user external ticket service request light user external create light user username firstname lastname ailaddress email phone address function location berater china company location department git address zip address city address country germany location location office expiration date mar important indicate external user requestor company location desired date dec additional information
Instalação da Impressora SHARP - MX2640 PCL6,Technical Issue,Medium,instala impressora sharp pcl
[TICKET ID] - New Support Ticket received  - Configuración equipos A6 [NAME],General Query,Medium,ticket new support ticket received configuraci equipos
Missing connection to Directory (AD) on system [SERVER],Technical Issue,Medium,missing connection directory server
Initiated by [COMPANY][LOCATION]- Vulnerable Internet Explorere on [SERVER],Technical Issue,Medium,initiated company location vulnerable internet explorere server
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:    J:/PFM-PU               Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket service request file share access grant access file share following user username access type read write file share pfm requestor company location comment
File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/DCD-C/R&D Webmag     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  S. E-Mail [NAME] [EMAIL] [NAME] [EMAIL] (2.1.2019),Technical Issue,Medium,file share access ticket username company location service request file share access grant access file share following user username company location username username access type read write file share dcd webmag requestor company location comment mail email email
[TICKET ID] - A Support Ticket was forwarded to your role  - AW: Order Provisioned: #[TICKET ID] - Install request for [NAME],General Query,Medium,ticket support ticket forwarded role order provisioned ticket install request
Install printer driver,Technical Issue,Medium,install printer driver
[TICKET ID] - New Support Ticket received  - Conta Bloqueada,Account,Medium,ticket new support ticket received conta bloqueada
setup phone for email.phone contacts.okta.,General Query,Medium,setup phone email phone contacts okta
[TICKET ID] - A Support Ticket was forwarded to your role  -[LOCATION]Wiedereinrichtung auf neuem Handy,Technical Issue,Medium,ticket support ticket forwarded role location wiedereinrichtung auf neuem handy
PowerBI is not providing my reports,Technical Issue,Medium,powerbi providing reports
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: reuter)  Access Type: (RW) Read / Write  File Share:  j:/stundenbuecher     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username reuter access type read write file share stundenbuecher requestor company location comment
Reset the password asap,Account,High,reset password asap
Access on LightHouse,Account,Medium,access lighthouse
[TICKET ID] - A Support Ticket was forwarded to your role  - Okta verify,Technical Issue,Medium,ticket support ticket forwarded role okta verify
[TICKET ID] - New Support Ticket received  - Dell laptop will not connect to the R drive.,Technical Issue,Medium,ticket new support ticket received dell laptop connect drive
[NAME] Mails aus Salesforce an Mailverteiler,General Query,Medium,mails aus salesforce mailverteiler
[TICKET ID] - New Support Ticket received  - Instalación de software,Technical Issue,Medium,ticket new support ticket received instalaci software
Problemas acesso VPN,General Query,Medium,problemas acesso vpn
[TICKET ID] - New Support Ticket received  - INSTALAR ATUALIZAÇÃO SICALC,Technical Issue,Medium,ticket new support ticket received instalar atualiza sicalc
Creating of new Distribution Group in [LOCATION],Account,Medium,creating new distribution group location
usuario no recibe correos masivos,General Query,Medium,usuario recibe correos masivos
[TICKET ID] - New Support Ticket received  - Scan is not going through,Technical Issue,Medium,ticket new support ticket received scan going
Impressora Borrando impressões,Technical Issue,Medium,impressora borrando impress
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41801  Company:  [COMPANY] SE  Department:  GGR-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:  [LOCATION]. BOB. UG / K29     Important: Please set the EA10 to the following value: 4378 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  9 2019 12:00AM     Additional information:   Mitarbeiter wechselt intern und benötigt vollständige Technikausstattung.  Vorgestztenstruktur noch nicht aktualisiert. bitte dennoch freigeben.  Bitte Notebook und Keyboard mit deutscher Tastatur.  Vielen Dank.,General Query,Medium,basis user ticket company location service request basis user create windows account internal user username company location firstname lastname cost center company company department ggr address zip address city address country germany office location bob important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date jan additional information mitarbeiter wechselt intern und ben tigt vollst ndige technikausstattung vorgestztenstruktur noch nicht aktualisiert bitte dennoch freigeben bitte notebook und keyboard mit deutscher tastatur vielen dank
Basis User - [USERNAME] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  22104  Company:    Department:  [COMPANY]-CS  Street:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 8708 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 16 2019 12:00AM     Additional information:   Bitte [NAME] der E-Mail Gruppe [COMPANY]-CS hinzufügen.  Telefonisch zu erreichen unter [PHONE],General Query,Medium,basis user username service request basis user create windows account internal user firstname lastname cost center company department company street zip city country address office important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date jan additional information bitte der mail gruppe company hinzuf gen telefonisch erreichen unter phone
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Guten Morgen.   würden Sie mir bitte den Zugriff auf die drei folgenden Ordnerstrukturen einrichten?    J:/HR_[SERVER]   J:/HR_[SERVER]   J:/HR_FRM-WBH   J:/PW-INSBB   Liebe Grüße. [NAME] Nollau   HR-Betreuung       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share guten morgen rden sie mir bitte den zugriff auf die drei folgenden ordnerstrukturen einrichten server server frm wbh insbb liebe nollau betreuung requestor company location comment
Update Power BI,Technical Issue,Medium,update power
Initiated by GIT: Missing connection to directory (AD) on system [SERVER],Technical Issue,Medium,initiated git missing connection directory server
[TICKET ID] - New Support Ticket received  - email migration,Technical Issue,Medium,ticket new support ticket received email migration
check_mk network Hostalarm: (US[COMPANY]01) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,General Query,High,check network hostalarm company company site site location
[TICKET ID] - New information received on closed ticket  - Light User for external - [TICKET ID] - [NAME],General Query,Medium,ticket new information received closed ticket light user external ticket
[TICKET ID] - New Support Ticket received  - OS Update - [SERVER],General Query,Medium,ticket new support ticket received update server
[TICKET ID] - A Support Ticket was forwarded to you  - interrumpido acceso a J:,Technical Issue,Medium,ticket support ticket forwarded interrumpido acceso
[TICKET ID] - New Support Ticket received  - Windows update to 1803,General Query,Medium,ticket new support ticket received windows update
Installation of Power BI desktop for user  [EMAIL] ,Technical Issue,Medium,installation power desktop user email
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  Voss. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/Wertprüfungen       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user voss company location username username access type read write file share wertpr fungen requestor company location comment
Light User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])Service Request: Light User  Create Light user for [NAME] ([COMPANY]. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone:   Cost Center: 150220  Company: [COMPANY] Services [ADDRESS] GmbH  Department: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:      Important: Please set the EA10 to the following value: 13735 (leave blank. when empty)     Desired date: Feb 11 2019 12:00AM     Requestor: [NAME] ([COMPANY]. [LOCATION])     Additional information:,General Query,Medium,light user username company location service request light user create light user company location firstname lastname ailaddress email phone cost center company company services address gmbh department address zip address city address country address location location office important set following value leave blank desired date feb requestor company location additional information
Delegation of Group - [SERVER]-LIMS,Technical Issue,Medium,delegation group server lims
[TICKET ID] - New Support Ticket received  - Phone does not load email,Technical Issue,Medium,ticket new support ticket received phone does load email
File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  J:/ZR_MAS     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket username company location service request file share access grant access file share following user username company location username username access type read file share mas requestor company location comment
[TICKET ID] - New Support Ticket received  - cant sign into Skype,Technical Issue,Medium,ticket new support ticket received sign skype
SR263409 - Leaving employee: The user Books; [NAME] ([COMPANY]; [LOCATION]) is going to leave [COMPANY] on 10;10;2017,Account,Medium,leaving employee user books company location going leave company
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]. Igor     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47046  Function: [COMPANY][LOCATION]consultant for BI  Company: [COMPANY] do Brasil Ltda.  Department: GIT-EST  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 20 2018 12:00AM     Additional information:  New [COMPANY][LOCATION]consultant for BI. [NAME],General Query,Medium,light user external ticket service request light user external create light user igor firstname lastname ailaddress email phone phone cost center function company location consultant company company brasil ltda department git est address zip address city address country address location location office expiration date defined important indicate external user requestor company location desired date dec additional information new company location consultant
Initiated by [COMPANY][LOCATION]- Vulnerable Office on [SERVER],Technical Issue,Medium,initiated company location vulnerable office server
instalar os [COMPANY]ulos de segurança dos bancos Caixa e BB,Technical Issue,Medium,instalar company ulos seguran dos bancos caixa
Create Shared Mailbox - [TICKET ID] - [COMPANY] rental car management,General Query,Medium,create shared mailbox ticket company rental car management
[TICKET ID] - A Support Ticket was forwarded to you  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,ticket support ticket forwarded file share access ticket company location
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([SERVER]) [SERVER] - UP -> DOWN,General Query,High,ticket support ticket forwarded role check hostalarm server server
[TICKET ID] - New Support Ticket received  - Installation of Microsoft Visio,Technical Issue,Medium,ticket new support ticket received installation microsoft visio
problemas para acessar email no pcEmail outlook não conectado,Technical Issue,Medium,problemas para acessar email pcemail outlook conectado
T20200124.0018 - Update outlook mailgroup [NAME],General Query,Medium,update outlook mailgroup
new[LOCATION]isnt found,General Query,Medium,new location isnt
[TICKET ID] - Reminder of paused Support Ticket  - Security Alert [URL],Technical Issue,Medium,ticket reminder paused support ticket security alert url
[TICKET ID] - New Support Ticket received  - Install new printer,Technical Issue,Medium,ticket new support ticket received install new printer
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. ESBA)Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. ESBA) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  [SERVER]-FINANCE-RW     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company esba service request file share access grant access file share following user company esba username username access type read write file share server finance requestor company location comment
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Servicealarm: ([SERVER]) [COMPANY] LS Systemmanagement - [SOFTWARE] Depot Server: Service MATRIXPXE - OK -> CRIT,General Query,Medium,ticket support ticket forwarded role check servicealarm server company systemmanagement software depot server service matrixpxe crit
Golive Crop Manager - intern kein Zugriff,Technical Issue,Medium,golive crop manager intern kein zugriff
Release E-Mail from quarantine,General Query,Medium,release mail quarantine
[TICKET ID] - New Support Ticket received  - Acesso Skype,Technical Issue,Medium,ticket new support ticket received acesso skype
